Agente,Partida,Victoria,Tiempo_Jugada_ms,Turnos_Totales
Probabilistico,55,0,0.3296186526616414,48
Probabilistico,56,0,0.0,110
Probabilistico,57,1,0.0,26
Probabilistico,58,0,0.0,50
Probabilistico,59,1,0.3704875707626343,48
Probabilistico,60,1,0.0,38
Probabilistico,61,1,0.0,64
Probabilistico,62,0,0.0,60
Probabilistico,63,1,0.12996020140471282,108
Probabilistico,64,0,0.06340195735295613,96
Probabilistico,65,1,0.06558546205846275,164
Probabilistico,66,1,0.09029986811619178,102
Probabilistico,67,0,0.0,118
Probabilistico,68,1,0.07966481722318208,130
Probabilistico,69,1,0.03813064261658551,146
Probabilistico,70,0,0.28651952743530273,32
Probabilistico,71,1,0.0,80
Probabilistico,72,1,0.0,44
Probabilistico,73,1,0.07559223608537154,264
Probabilistico,74,1,0.0,150
Probabilistico,75,1,0.13022059979646103,92
Probabilistico,76,0,0.0,32
Probabilistico,77,0,0.16068893930186398,46
Probabilistico,78,0,0.04740556081136068,252
Probabilistico,79,0,0.0,54
Probabilistico,80,0,0.0,58
Probabilistico,81,1,0.12142153886648324,104
Probabilistico,82,1,0.0,82
Probabilistico,83,0,0.20412136526668773,34
Probabilistico,84,0,0.0,66
Probabilistico,85,0,0.14449585051763628,84
Probabilistico,86,0,0.0,116
Probabilistico,87,0,0.10440945625305176,120
Probabilistico,88,0,0.0,26
Probabilistico,89,0,0.0,50
Probabilistico,90,1,0.0,82
Probabilistico,91,1,0.0,108
Probabilistico,92,1,0.30276867059560925,52
Probabilistico,93,0,0.0,44
Probabilistico,94,1,0.04737061190317912,332
Probabilistico,95,0,0.1227507988611857,48
Probabilistico,96,0,0.0,60
Probabilistico,97,1,0.0,82
Probabilistico,98,1,0.06447235743204753,156
Probabilistico,99,0,0.0,92
Probabilistico,100,1,0.0,54
Probabilistico,101,0,0.40047168731689453,40
Probabilistico,102,0,0.0,50
Probabilistico,103,1,0.051441192626953125,250
Probabilistico,104,1,0.0,58
Probabilistico,105,0,0.10259043086658826,132
Probabilistico,106,1,0.0,80
Probabilistico,107,1,0.0,60
Probabilistico,108,1,0.05608324020627945,252
Probabilistico,109,0,0.14719792774745397,112
Probabilistico,110,1,0.0,42
Probabilistico,111,0,0.0,30
Probabilistico,112,1,0.0,118
Probabilistico,113,1,0.13020073158153592,138
Probabilistico,114,0,0.0,32
Probabilistico,115,1,0.05883977219865129,370
Probabilistico,116,1,0.06690869728724162,96
Probabilistico,117,0,0.0619701592318983,166
Probabilistico,118,1,0.08122827492508233,102
Probabilistico,119,1,0.1088857650756836,40
Probabilistico,120,0,0.0,82
Probabilistico,121,1,0.08515661413019354,110
Probabilistico,122,1,0.06699987820216588,56
Probabilistico,123,0,0.0,114
Probabilistico,124,0,0.2088993787765503,48
Probabilistico,125,1,0.0,50
Probabilistico,126,0,0.0650099345615932,140
Probabilistico,127,1,0.0,44
Probabilistico,128,1,0.08244039835753264,432
Probabilistico,129,1,0.0061505549662822,74
Probabilistico,130,0,0.0,60
Probabilistico,131,0,0.12884029122286064,86
Probabilistico,132,1,0.10882105146135602,56
Probabilistico,133,0,0.027917325496673584,64
Probabilistico,134,0,0.0,44
Probabilistico,135,1,0.0,58
Probabilistico,136,1,0.11856026119656032,72
Probabilistico,137,0,0.07009590175789847,284
Probabilistico,138,0,0.0,108
Probabilistico,139,0,0.06400906678402063,264
Probabilistico,140,0,0.05274772644042969,200
Probabilistico,141,1,0.1406574249267578,50
Probabilistico,142,1,0.043796456378439194,46
Probabilistico,143,1,0.02574920654296875,78
Probabilistico,144,0,0.07525330684224113,244
Probabilistico,145,1,0.06678321144797586,110
Probabilistico,146,1,0.060324668884277344,100
Probabilistico,147,1,0.03465701793802196,58
Probabilistico,148,0,0.07219314575195312,60
Probabilistico,149,1,0.08906963023733586,94
Probabilistico,150,1,0.0,66
Probabilistico,151,1,0.07482178239937287,166
Probabilistico,152,1,0.04383792047915252,46
Probabilistico,153,0,0.04187822341918945,60
Probabilistico,154,1,0.0,46
Probabilistico,155,1,0.06047384006770577,254
Probabilistico,156,1,0.0,44
Probabilistico,157,1,0.0,60
Probabilistico,158,0,0.0,30
Probabilistico,159,1,0.11508715780157792,152
Probabilistico,160,1,0.0,46
Probabilistico,161,1,0.0,146
Probabilistico,162,0,0.4210948944091797,30
Probabilistico,163,0,0.063005246614155,76
Probabilistico,164,1,0.0,122
Probabilistico,165,1,0.12222818426183753,74
Probabilistico,166,1,0.0,44
Probabilistico,167,1,0.0,60
Probabilistico,168,1,0.08275628089904785,200
Probabilistico,169,0,0.1378731294111772,110
Probabilistico,170,0,0.0,58
Probabilistico,171,0,0.10458772832697089,110
Probabilistico,172,0,0.05336305988368704,134
Probabilistico,173,1,0.0,42
Probabilistico,174,1,0.21402835845947266,40
Probabilistico,175,1,0.0,36
Probabilistico,176,1,0.0,24
Probabilistico,177,1,0.0,72
Probabilistico,178,1,0.0,52
Probabilistico,179,0,0.1856088638305664,94
Probabilistico,180,1,0.10063214735551314,110
Probabilistico,181,0,0.07264692704756182,182
Probabilistico,182,1,0.07582126661788585,172
Probabilistico,183,0,0.07416392272373416,212
Probabilistico,184,1,0.06361802419026692,36
Probabilistico,185,0,0.0773008053119366,130
Probabilistico,186,1,0.06292110834366237,156
Probabilistico,187,1,0.09941604902159493,318
Probabilistico,188,1,0.03155231475830078,50
Probabilistico,189,1,0.0,50
Probabilistico,190,0,0.2093791961669922,50
Probabilistico,191,0,0.10442733764648438,46
